,max_hour,mean_x,mean_y,std,w_cumulative
0,5,-74.0812895002,4.67388543403,0.0207418651634,0.252773993174
1,5,-74.1247950999,4.55231700335,0.019748266387,0.3310365215
2,5,-74.1378415849,4.63056664987,0.011058374088,0.425743945802
3,5,-74.0760752919,4.60372003802,0.00175573847918,0.511032437249
4,5,-74.096008334,4.74284779525,0.00776802537653,0.568152295055
5,5,-74.0444883338,4.7240937347,0.0154658822945,0.651466416413
6,5,-74.1446432898,4.68764235608,0.0117503520917,0.732347999703
7,5,-74.0682752238,4.63517635055,0.00638922359056,0.796042452416
8,5,-74.1648404833,4.59659899791,0.0195462514948,0.887809836409
9,5,-74.0957931337,4.59421081846,0.0144033698076,1.0
10,9,-74.0600660199,4.67000826544,0.0134211736487,0.152301819538
11,9,-74.1041293856,4.64436045991,0.0127963166166,0.25098446755
12,9,-74.1429187859,4.68658254822,0.0117005513273,0.288993604458
13,9,-74.143193749,4.61307114441,0.0204531165507,0.378186286288
14,9,-74.0374595623,4.74833641143,0.0127905950987,0.430905935511
15,9,-74.070683218,4.63299829831,0.00804225947071,0.565998935038
16,9,-74.0822403618,4.60256976744,0.0128464483276,0.752115339097
17,9,-74.0927533762,4.70945986235,0.0235964686193,0.822254197611
18,9,-74.1236413896,4.57549546257,0.0208593448985,0.92273405478
19,9,-74.0436182017,4.70804186009,0.0103265895353,1.0
20,14,-74.1109952461,4.69428555453,0.0265827498854,0.0961911298557
21,14,-74.1033551497,4.64916262507,0.0101766263048,0.157052556691
22,14,-74.1313940755,4.58216366091,0.0171126134042,0.250591945595
23,14,-74.0492686155,4.73068725113,0.0174432236822,0.343301359382
24,14,-74.0845799731,4.59759908755,0.0123453232011,0.531457336895
25,14,-74.0585674779,4.68381611814,0.0149754324115,0.656845803305
26,14,-74.132537188,4.62566334792,0.0168254603857,0.723501967306
27,14,-74.1062893244,4.55996605318,0.0171461996121,0.772719108934
28,14,-74.0709879651,4.64027434301,0.00985108932032,0.945554278287
29,14,-74.1720532885,4.61861688867,0.015321582194,1.0
30,19,-74.0767157983,4.67916343642,0.0176119008696,0.0623019496672
31,19,-74.1107055896,4.60118313262,0.0120015382995,0.135878059046
32,19,-74.0747989787,4.6391398752,0.0134741064519,0.314880499971
33,19,-74.1052533301,4.7165557177,0.0217278319439,0.418400564148
34,19,-74.1204737843,4.55904282251,0.0222485549764,0.548853566319
35,19,-74.1577955806,4.61026594133,0.0199171161708,0.636230243667
36,19,-74.0456108527,4.74016128297,0.013726366284,0.723764756337
37,19,-74.1215242962,4.66105930248,0.0217558997216,0.842677489107
38,19,-74.0834704669,4.59193576481,0.0113222041327,0.94256775948
39,19,-74.0536714204,4.69708111791,0.0134624241628,1.0
40,23,-74.088420024,4.57763905366,0.0147493446858,0.129134225701
41,23,-74.1039209468,4.7203902671,0.0168386613312,0.237956837427
42,23,-74.1394443667,4.56823215438,0.0134098966855,0.332068202163
43,23,-74.1077595814,4.68679506059,0.0194906110456,0.485204407042
44,23,-74.1586027694,4.62022505553,0.0168436770261,0.572378101099
45,23,-74.0578163687,4.67893403086,0.0161830945742,0.632791336854
46,23,-74.1136454877,4.59976790024,0.0118218940682,0.718140421686
47,23,-74.0439785187,4.73778797265,0.0156683259982,0.815393388159
48,23,-74.1084946248,4.50795691658,0.00930354485435,0.87101893251
49,23,-74.0757061758,4.63087424712,0.013701538736,1.0
