"164",0.621,0.514,"STREET"
"165",0.253,0.49,"STREET"
"166",0.611,0.012,"STREET"
"167",0.426,0.037,"STREET"
"168",0.495,0.317,"STREET"
"169",0.579,0.337,"STREET"
"170",0.958,0.901,"STREET"
"171",0.8,0.852,"STREET"
"172",0.895,0.852,"STREET"
"173",0.8,0.362,"STREET"
"174",0.5,0.325,"STREET"
"175",0.253,0.165,"STREET"
"176",0.505,0.296,"STREET"
"177",0.779,0.276,"STREET"
"178",0.695,0.708,"STREET"
"179",0.7,0.593,"STREET"
"180",0.911,0.605,"STREET"
"181",0.674,0.617,"STREET"
"182",0.426,0.568,"STREET"
"183",0.395,0.078,"STREET"
"184",0.537,0.091,"STREET"
"185",0.784,0.93,"STREET"
"186",1,0.905,"STREET"
"187",0.332,0.403,"STREET"
"188",0.2,0.403,"STREET"
"189",0.516,0.247,"STREET"
"190",0.163,0.379,"STREET"
"191",0.374,0.695,"STREET"
"192",0.305,0.671,"STREET"
"193",0.916,0.658,"STREET"
"194",0.584,0.272,"STREET"
"195",0.679,0.169,"STREET"
"196",0.937,0.646,"STREET"
"197",0.889,0.658,"STREET"
"198",0.684,0.695,"STREET"
"199",0.932,0.679,"STREET"
"200",0.505,0.481,"STREET"
"201",0.658,0.481,"STREET"
"202",0.437,0.481,"STREET"
"203",0.821,0.469,"STREET"
"204",0.521,0.494,"STREET"
"205",0.468,0.457,"STREET"
"206",0.542,0.494,"STREET"
"207",0.711,0.469,"STREET"
"208",0.532,0.247,"STREET"
"209",0.563,0.687,"STREET"
"210",0.458,0.21,"STREET"
"211",0.953,0.675,"STREET"
"212",0.489,0.675,"STREET"
"213",0.295,0.165,"STREET"
"214",0.563,0.597,"STREET"
"215",0.463,0.597,"STREET"
"216",0.858,0.51,"STREET"
"217",0.668,0.51,"STREET"
"218",0.895,0.584,"STREET"
"219",0.237,0.51,"STREET"
"220",0.584,0.07,"STREET"
"221",0.632,0.082,"STREET"
"222",0.563,0.288,"STREET"
"223",0.911,0.827,"STREET"
"224",0.879,0.778,"STREET"
"225",0.642,0.79,"STREET"
"226",0.547,0.251,"STREET"
"227",0.563,0.239,"STREET"
"228",0.632,0.284,"STREET"
"229",0.305,0.14,"STREET"
"230",0.326,0.572,"STREET"
"231",0.958,0.802,"STREET"
"232",0.884,0.819,"STREET"
"233",0.621,0.276,"STREET"
"234",0.516,0.354,"STREET"
"235",0.537,0.663,"STREET"
"236",0.847,0.638,"STREET"
"237",0.868,0.638,"STREET"
"238",0.8,0.65,"STREET"
"239",0.853,0.65,"STREET"
"240",0.574,0.136,"STREET"
"241",0.705,0.111,"STREET"
"242",0.747,0.815,"STREET"
"243",0.784,0.383,"STREET"
"244",0.126,0.305,"STREET"
"245",0.432,0.329,"STREET"
"246",0.242,0.379,"STREET"
"247",0.779,0.329,"STREET"
"248",0.9,0.868,"STREET"
"249",0.784,0.868,"STREET"
"250",0,0.354,"STREET"
"251",0.537,0.305,"STREET"
"252",0.853,0.667,"STREET"
"253",0.689,0.728,"STREET"
"254",0.358,0.667,"STREET"
"255",0.442,0.654,"STREET"
"256",0.9,0.654,"STREET"
"257",0.995,0.802,"STREET"
"258",0.768,0.379,"STREET"
"259",0.542,0.23,"STREET"
"260",0.284,0.395,"STREET"
"261",0.263,0.358,"STREET"
"262",0.784,0.737,"STREET"
"263",0.747,0.745,"STREET"
"264",0.905,0.72,"STREET"
"265",0.611,0.267,"STREET"
"266",0.979,0.757,"STREET"
"267",0.389,0.193,"STREET"
"268",0.437,0.206,"STREET"
"269",0.489,0.218,"STREET"
"270",0.516,0.708,"STREET"
"271",0.458,0.498,"STREET"
"272",0.489,0.473,"STREET"
"273",0,0.436,"STREET"
"274",0.779,1,"STREET"
"275",0.389,0.21,"STREET"
"276",0.405,0.123,"STREET"
"277",0.584,0.823,"STREET"
"278",0.379,0.296,"STREET"
"279",0.4,0.272,"STREET"
"280",0.216,0.477,"STREET"
"281",0.547,0.049,"STREET"
"282",0.447,0,"STREET"
"283",0.305,0.362,"STREET"
"284",1,0.852,"STREET"
"285",0.468,0.156,"STREET"
"286",0.895,0.63,"STREET"
"287",0.4,0.543,"STREET"
"288",0.537,0.568,"STREET"
"289",0.416,0.63,"STREET"
"290",0.595,0.543,"STREET"
"291",0.621,0.568,"STREET"
"292",0.868,0.593,"STREET"
"293",0.626,0.029,"STREET"
"294",0.132,0.165,"STREET"
"295",0.689,0.346,"STREET"
"296",0.816,0.453,"STREET"
"297",0.6,0.428,"STREET"
"298",0.6,0.284,"STREET"
"299",0.563,0.379,"STREET"
"300",0.942,0.675,"STREET"
"301",0.7,0.173,"STREET"
"302",0.516,0.263,"STREET"
"303",0.942,0.658,"STREET"
"304",0.521,0.646,"STREET"
"305",0.863,0.695,"STREET"
"306",0.584,0.621,"STREET"
"307",0.953,0.695,"STREET"
"308",0.921,0.621,"STREET"
"309",0.9,0.683,"STREET"
"310",0.337,0.683,"STREET"
"311",0.958,0.86,"STREET"
"312",0.616,0.296,"STREET"
"313",0.616,0.658,"STREET"
"314",0.384,0.235,"STREET"
"315",0.532,0.272,"STREET"
"316",0.511,0.457,"STREET"
"317",0.495,0.444,"STREET"
"318",0.153,0.494,"STREET"
"319",0.837,0.469,"STREET"
"320",0.489,0.28,"STREET"
"321",0.868,0.724,"STREET"
"322",0.447,0.247,"STREET"
"323",0.979,0.712,"STREET"
"324",0.805,0.7,"STREET"
"325",0.484,0.523,"STREET"
"326",0.653,0.535,"STREET"
"327",0.589,0.584,"STREET"
"328",0.474,0.51,"STREET"
"329",0.516,0.547,"STREET"
"330",0.768,0.547,"STREET"
"331",0.958,0.753,"STREET"
"332",0.763,0.778,"STREET"
"333",0.526,0.226,"STREET"
"334",0.811,0.3,"STREET"
