0,0.624,0.27
1,0.702,0.765
2,0.955,0.969
3,0.888,0.634
4,0.0,0.479
5,0.744,0.379
6,0.239,0.566
7,0.585,0.559
8,0.071,0.276
9,0.4,0.292
10,0.693,0.446
11,0.781,1.0
12,0.79,0.692
13,0.401,0.465
14,0.804,0.342
15,0.648,0.745
16,0.152,0.314
17,0.938,0.741
18,0.567,0.329
19,0.73,0.83
20,0.788,0.568
21,0.878,0.983
22,0.719,0.606
23,0.861,0.702
24,0.755,0.886
25,0.316,0.518
26,0.777,0.721
27,0.73,0.399
28,0.437,0.714
29,0.572,0.894
30,0.621,0.05
31,0.577,0.175
32,0.812,0.677
33,0.492,0.447
34,0.632,0.846
35,1.0,0.963
36,0.923,0.673
37,0.781,1.0
38,0.485,0.0
39,0.03,0.361
40,0.73,0.711
41,0.4,0.149
42,0.968,0.726
43,0.831,0.574
44,0.677,0.462
45,0.484,0.664
46,0.651,0.415
47,0.526,0.621
48,0.755,0.43
49,0.622,0.974
50,0.48,0.225
